ICAOIATAKEY,ICAOCODE,IATACODE,DESCRIPTION,LAT,LON
1040,NTGA,AAA,ANAA TUAMOTU,-17.352606,-145.509956
2988,YARY,AAB,ARRAABURY,,
3454,HEAR,AAC,EL ARISH,31.073333,33.835833
1573,DABB,AAE,ANNABA,36.822225,7.809167
1335,EKYT,AAL,AALBORG,57.092789,9.849164
2822,OMAL,AAN,AL AIN,24.261667,55.609167
2782,SVAN,AAO,ANACO,9.430225,-64.470725
389,URKA,AAQ,ANAPA/VITAZEVO,45.002097,37.347272
1320,EKAH,AAR,AARHUS,56.300017,10.619008
3147,RPMA,AAV,ALLAH VALLEY,,
4019,SBAX,AAX,ARAXA,-19.563056,-46.960278
38,OYGD,AAY,AL GAIDHA,16.191667,52.175
1275,UNAA,ABA,ABAKAN,53.74,91.385
695,LEAB,ABC,ALBACETE,38.948528,-1.863517
1487,OIAA,ABD,ABADAN INTERNATIONAL,30.371111,48.228333
2985,YAPH,ABH,ALPHA,,
1778,DIAP,ABJ,ABIDJAN FELIX H BOIGNY,5.261386,-3.926294
660,HAKD,ABK,KABRI DAHAR,6.734,44.253
69,PAFM,ABL,AMBLER,67.106389,-157.8575
2269,YNPE,ABM,NORTHERN PENINSULA,,
2991,YBAM,ABM,BAMAGA INJINOO,-10.950833,142.459444
2875,PRAB,ABO,ANTONIO/NERY/JUARBE POL,,
932,HEBL,ABS,ABU SIMBEL,22.375953,31.611722
1077,OEBA,ABT,AL BAHA,20.296139,41.634277
1788,DNAA,ABV,ABUJA INTL,9.006792,7.263172
11,YMAY,ABX,ALBURY,-36.067778,146.958056
450,EGPD,ABZ,ABERDEEN DYCE,57.201944,-2.197778
3555,MMAA,ACA,ACAPULCO,16.757061,-99.753953
1773,DGAA,ACC,ACCRA,5.605186,-0.166786
2080,GCRR,ACE,LANZAROTE,28.945464,-13.605225
3494,LSZR,ACH,ST GALLEN ALTENRHEIN,47.485033,9.560775
430,EGJA,ACI,ALDERNEY,49.706111,-2.214722
2076,VCCA,ACJ,ANURADHAPURA AB,8.301486,80.4279
3560,MMCC,ACN,CIUDAD ACUNA,29.333917,-101.100892
1934,OITM,ACP,SAHAND,37.348017,46.127903
1935,OIZB,ACZ,ZABOL,31.098333,61.543889
3498,LTAF,ADA,ADANA SAKIRPASA,36.982166,35.280388
3515,LTBJ,ADB,IZMIR ADNAN,38.292392,27.156953
3437,HAAB,ADD,ADDIS ABEBA BOLE,8.977889,38.799319
164,OYAA,ADE,ADEN,12.829542,45.028792
711,LTCP,ADF,ADIYAMAN,37.7314,38.4689
2490,FYAR,ADI,ARANDIS,,
2816,OJAM,ADJ,AMMAN,31.972703,35.991569
59,PADK,ADK,ADAK NAS,51.878,-176.646
18,YPAD,ADL,ADELAIDE,-34.945,138.530556
2983,YAMK,ADO,ANDAMOOKA,,
62,PADQ,ADQ,KODIAK,57.749967,-152.493856
1933,OITL,ADU,ARDABIL,38.325678,48.424356
465,EGQL,ADX,LEUCHARS,56.372889,-2.868444
2714,SKSP,ADZ,SAN ANDRES,12.583594,-81.711192
1972,PARD,AED,RED DOG,,
2467,FTTC,AEH,ABECHE,13.847,20.844333
3420,GQNA,AEO,AIOUN EL ATROUSS,16.711294,-9.637883
3182,SABE,AEP,AEROPARQUE JORGE NEWBURY BA,-34.559175,-58.415606
397,URSS,AER,SOCHI,43.449928,39.956589
1337,ENAL,AES,ALESUND VIGRA,62.560372,6.110164
739,OIBA,AEU,ABUMUSA,25.875742,55.032994
498,BIAR,AEY,AKUREYRI,65.659994,-18.072703
3188,SAMR,AFA,SAN RAFAEL,-34.588314,-68.403854
2570,SBAT,AFL,ALTA FLORESTA,-9.866092,-56.106206
3499,LTAH,AFY,AFYON,38.726425,30.601114
1146,OIMS,AFZ,SABZEVAR,36.168083,57.595183
3393,GMAD,AGA,AGADIR AL MASSIRA,,
2181,EDMA,AGB,AUGSBURG MUHLHAUSEN,48.425158,10.931764
1802,EDWG,AGE,WANGEROOGE,53.7828,7.91389
776,LFBA,AGF,AGEN LA GARENNE,44.174721,0.590556
612,ESDB,AGH,ANGELHOLM AB,,
3785,ESTA,AGH,ANGELHOLM,56.2961,12.8471
3135,RORA,AGJ,AGUNI,26.592778,127.240278
753,LEMG,AGP,MALAGA,36.6749,-4.499106
3631,LGAG,AGQ,AGRINION(CIVIL),38.602022,21.351208
1483,VIAG,AGR,AGRA AB,27.155831,77.960892
3690,SGES,AGT,CIUDAD DEL ESTE/GUARANI,-25.4555,-54.843592
3557,MMAS,AGU,AGUASCALIENTES-JESUS TERAN INT,21.705558,-102.317858
2781,SVAC,AGV,ACARIGUA,9.553422,-69.237536
3806,FAAG,AGZ,AGGENEYS,-29.281767,18.813869
1076,OEAB,AHB,ABHA,18.240367,42.656625
341,1F0,AHD,ARDMORE DOWNTOWN EXECUTIVE,,
2364,LIEA,AHO,ALGHERO FERTILIA,40.632133,8.290772
84,PAHT,AHT,AMCHITKA,,
3408,GMTA,AHU,AL HOCEIMA,35.177103,-3.839525
4018,SBAS,AIF,ASSIS,-22.638564,-50.455914
1909,PAWI,AIN,WAINWRIGHT,70.638056,-159.994722
3952,NCAI,AIT,AVARUA,-18.830922,-159.764233
816,LFKJ,AJA,AJACCIO,41.923637,8.802917
1096,OESK,AJF,AL JOUF,29.785133,40.100006
3532,LTCO,AJI,AGRI,39.6546,43.0271
744,OIHR,AJK,ARAK,34.138147,49.847292
1217,FMCV,AJN,ANJOUAN,-12.131667,44.430279
3767,ESNX,AJR,ARVIDSJAUR,65.590278,19.281944
2569,SBAR,AJU,ARACAJU,-10.984,-37.070333
2129,DRZA,AJY,AGADEZ SUD,16.965997,8.000114
1949,PAAK,AKA,ATKA,52.220278,-174.206389
1420,VAAK,AKD,AKOLA,20.699006,77.058628
336,HLKF,AKF,KUFRA,24.178728,23.313958
736,OEPS,AKH,PRINCE SULTAN AB,24.0346,47.345
93,PAKI,AKI,AKIAK,59.933056,-164.030556
1979,PFAK,AKI,AKIAK,60.902778,-161.230556
2425,RJEC,AKJ,ASAHIKAWA,43.670833,142.4475
92,PAKH,AKK,AKHIOK,56.938611,-154.1825
1055,NZAA,AKL,AUCKLAND,-37.008056,174.791667
95,PAKN,AKN,KING SALMON,58.676778,-156.649278
96,PAKP,AKP,ANAKTUVUK PASS,68.1336,-151.743
1106,LCRA,AKT,AKROTIRI,34.590416,32.987861
2099,CYKO,AKV,AKULIVIK,60.8186,-78.1486
737,OIAG,AKW,AGHAJARI,30.74445,49.677183
234,UATT,AKX,AKTYUBINSK,50.245833,57.206667
2673,VYSW,AKY,SITTWE,20.132708,92.872628
223,UAAA,ALA,ALMATY,43.352072,77.040508
3708,LEAL,ALC,ALICANTE,38.282169,-0.558156
2407,E38,ALE,ALPINE-CASPARIS MUN,,
1339,ENAT,ALF,ALTA,69.976111,23.371667
1568,DAAG,ALG,ALGIERS,36.691014,3.215408
2979,YABA,ALH,ALBANY,-34.9433,117.809
3805,FAAB,ALJ,ALEXANDER BAY,-28.575001,16.533333
1520,LIMG,ALL,ALBENGA,44.050608,8.127428
3896,OSAP,ALP,ALEPPO,36.180675,37.224358
3972,NZLX,ALR,ALEXANDRA,-45.211666,169.373333
930,HEAX,ALY,ALEXANDRIA,31.183903,29.948889
1229,FMNE,AMB,AMBILOBE,-13.188431,48.987978
1419,VAAH,AMD,AHMEDABAD,23.077242,72.63465
650,HAAM,AMH,ARBA MINCH,6.039389,37.590453
2678,WADA,AMI,MATARAM SELAPARANG,-8.560708,116.094656
2815,OJAI,AMM,QUEEN ALIA-AMMAN,31.722556,35.993214
2473,FTTU,AMO,MAO,,
1501,WAPP,AMQ,AMBON PATTIMURA,-3.710264,128.089136
1293,EHAM,AMS,AMSTERDAM SCHIPHOL,52.308613,4.763889
2984,YAMT,AMT,AMATA,,
3966,NZAR,AMZ,ARDMORE,-37.029722,174.973333
112,PANC,ANC,ANCHORAGE INTL,61.174361,-149.996361
698,LFRA,ANE,AVRILLE,,
812,LFJR,ANE,ANGERS MARCE,47.5603,-0.312222
3352,SCFA,ANF,ANTOFAGASTA,-23.444478,-70.4451
789,LFBU,ANG,ANGOULEME,45.729247,0.221456
113,PANI,ANI,ANIAK,61.5816,-159.543
3497,LTAD,ANK,ANKARA ETIMESGUT,39.949831,32.688622
114,PANN,ANN,ANNETTE ISLAND,,
115,PANT,ANN,ANNETTE ISLAND,55.042436,-131.572233
2568,SBAN,ANP,ANAPOLIS AB,,
2141,EBAW,ANR,ANTWERP,51.189444,4.460278
192,TAPA,ANU,ANTIGUA/BIRD INT,17.136749,-61.792667
117,PANV,ANV,ANVIK,62.6467,-160.191
1338,ENAN,ANX,ANDENES / ANDOYA,69.2925,16.144167
2147,EDAC,AOC,ALTENBURG,50.981817,12.506361
3947,LTBY,AOE,ANADOLU,39.809858,30.519378
1540,LIPY,AOI,ANCONA FALCONARA,43.616389,13.362222
3094,RJSA,AOJ,AOMORI,40.734722,140.690833
3645,LGKP,AOK,KARPATHOS,35.421408,27.146008
3200,SARL,AOL,PASO DE LOS LIBRES,-29.689425,-57.152078
3244,WMKA,AOR,ALOR STAR,6.189667,100.398183
1525,LIMW,AOT,AOSTA,45.738456,7.368719
2457,FQNP,APL,NAMPULA,-15.105611,39.2818
1036,NSFA,APW,FALEOLO INTERNATIONAL,-13.829969,-172.008336
4017,SBAQ,AQA,ARARAQUARA,-21.812,-48.133028
132,PAQH,AQH,QUINHAGAK,59.755,-161.845278
1090,OEPA,AQI,HAFR AL BATIN-QSMH,28.335192,46.125069
2817,OJAQ,AQJ,AQABA/KING HUSSEIN INT,29.611619,35.018067
2757,SPQU,AQP,AREQUIPA,-16.341072,-71.583083
135,PARC,ARC,ARCTIC VILLAGE,68.1147,-145.579
267,ULAA,ARH,ARKHANGELSK,64.360281,40.430167
3343,SCAR,ARI,ARICA,-18.348531,-70.338742
1124,HTAR,ARK,ARUSHA,-3.367794,36.633333
2987,YARM,ARM,ARMIDALE,-30.528056,151.617222
3775,ESSA,ARN,STOCKHOLM ARLANDA,59.651944,17.918611
2571,SBAW,ARS,ARAGARCAS,,
3471,LRAR,ARW,ARAD,46.17655,21.262022
2986,YARA,ARY,ARARAT,,
317,HHSB,ASA,ASSAB,13.071783,42.645006
407,UTAA,ASB,ASHGABAT,37.986814,58.360967
1193,FHAW,ASC,ASCENSION IS,-7.969597,-14.393664
1002,MYAF,ASD,ANDROS TOWN INTL,24.698283,-77.795611
398,URWA,ASF,ASTRAKHAN,46.283333,48.006278
2440,RJKA,ASJ,AMAMI,28.430633,129.712542
1787,DIYO,ASK,YAMOUSSOUKRO,6.903167,-5.365581
315,HHAS,ASM,ASMARA,15.291853,38.910667
671,HASO,ASO,ASOSA,10.01855,34.586253
3263,YBAS,ASP,ALICE SPRINGS,-23.806667,133.902222
3506,LTAU,ASR,KAYSERI ERKILET,38.770386,35.495428
3689,SGAS,ASU,ASUNCION,-25.23985,-57.519133
318,HKAM,ASV,AMBOSELI,-2.64505,37.2531
313,HESN,ASW,ASWAN,23.964356,32.819975
2749,SPHZ,ATA,ANTA-COM FAP G ARIAS GRAZZIANI,-9.347444,-77.598392
1010,MYCA,ATC,ARTHURS TOWN,24.629417,-75.673775
362,80F,ATE,ANTLERS MUN,,
4039,SEAM,ATF,CHACHOAN,-1.212067,-78.574636
3634,LGAV,ATH,ATHENS ELEFTHERIOS VENIZELOS,37.936358,23.944467
2772,SUAG,ATI,ARTIGAS,,
1385,PATQ,ATK,ATQASUK EDWARD BURNELL SR MEML,70.4673,-157.436
3278,SBHT,ATM,ALTAMIRA,-3.253906,-52.253978
2596,VIAR,ATQ,AMRITSAR,31.709594,74.797264
